receipt_number,item_id,variant_id,quantity,price,gross_total_money,total_money,cost,cost_total,line_note
1-1099,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,1,4200.0,4200.0,4200.0,0.0,0.0,
1-1099,927bb1b2-8059-432d-9521-e3411e725084,c3cdd912-b40b-4500-b3dd-b94c30ef6693,2,2100.0,4200.0,4200.0,0.0,0.0,
1-1099,99871376-7d34-4dc7-9ae4-95f6953bd095,39959c12-5c67-4947-a30e-eb5b6cdcaa90,1,4200.0,4200.0,4200.0,2916.67,2916.67,
1-1099,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,1,22575.0,22575.0,22575.0,22000.0,22000.0,
1-1099,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,1,24150.0,24150.0,24150.0,23000.0,23000.0,
1-1099,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,1,33600.0,33600.0,33600.0,32000.0,32000.0,
1-1099,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,1,52563.0,52563.0,52563.0,2737.34,2737.34,
1-1099,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,10,1155.0,11550.0,11550.0,0.0,0.0,
1-1099,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,4,5000.0,20000.0,20000.0,6377.09,25508.36,
1-1099,7a0935be-4c5d-43ee-8664-843c7e67b53d,cce1a2d8-fe7d-4ddd-94f2-95720011c426,1,1785.0,1785.0,1785.0,0.0,0.0,
1-1099,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,2,1050.0,2100.0,2100.0,0.0,0.0,
1-1099,e21e0fd5-2a15-4dfe-abc2-a284902f413c,206a3a72-6054-422d-b1fd-9f8a86b4de96,4,3150.0,12600.0,12600.0,0.0,0.0,
1-1099,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,2,1050.0,2100.0,2100.0,12000.0,24000.0,
1-1099,d89350d2-07b3-4518-a6dd-2165be2e8a9d,27fed9ad-350f-4cdd-9e8d-8eb3afd9699b,1,1050.0,1050.0,1050.0,0.0,0.0,
1-1099,8dea6e31-228d-4e57-9b28-0f4c0f907a6a,b0b76c98-f5b4-4915-b2ae-a86714988df3,1,2625.0,2625.0,2625.0,0.0,0.0,
1-1099,3e847adb-1cbb-482e-b810-25e1e9b88719,8a006afa-c760-40ea-b157-343e6fe99bdc,1,2100.0,2100.0,2100.0,0.0,0.0,
1-1099,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,8,2067.13,16537.04,16537.04,2919.51,23356.08,
1-1098,6833bf5a-5f20-4678-a836-a2505fedd53f,ec7f49e8-6f53-4b87-8584-565396f57516,1,1837.5,1837.5,1837.5,1750.0,1750.0,
1-1098,14a3df3f-8ac4-43ed-9e59-7a80ebe92265,a76f7d79-62e3-4a7b-bf2f-7530bb615c52,1,189.0,189.0,189.0,176.1,176.1,
1-1098,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,6,892.5,5355.0,5355.0,875.0,5250.0,
1-1098,6fa95493-98e1-4292-841b-c22a149f7e71,c0ea6a1b-c96b-4ecf-8dcf-87af6f407bb6,1,33075.0,33075.0,33075.0,31500.0,31500.0,
1-1098,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,10,525.0,5250.0,5250.0,35.0,350.0,
1-1098,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,1,263.0,263.0,263.0,250.0,250.0,
1-1098,2e8facad-232e-4563-a76b-e4eeb4ecb930,47cae377-c641-46b1-a7d6-dab6cc3e02a6,2,3045.0,6090.0,6090.0,2800.0,5600.0,
1-1098,78d19ef8-0af5-4d6a-808a-9db6e9a27313,66ca4c08-6adb-4491-9df4-318fe4b8c82b,1,420.0,420.0,420.0,400.0,400.0,
1-1098,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,25,60.0,1500.0,1500.0,60.0,1500.0,
1-1098,796ab850-69f9-4c92-a528-0343ead97d59,1b695fa9-9448-42bf-8237-f2d7b9efae97,5,1050.0,5250.0,5250.0,616.26,3081.3,
1-1098,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,3,3100.0,9300.0,9300.0,2666.67,8000.01,
1-1098,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,15,89.25,1338.75,1338.75,138.96,2084.4,
1-1098,6dafecf4-366d-41b0-b16f-77d2d67417f2,25eae14a-b16f-41ab-a8ef-5552a8d070f6,5,551.25,2756.25,2756.25,525.0,2625.0,
1-1098,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,1,4200.0,4200.0,4200.0,4000.0,4000.0,
1-1098,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,d6d36218-158c-412a-89cf-ef2ff6b36f59,5,1575.0,7875.0,7875.0,1500.0,7500.0,
1-1098,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,2,542.5,1085.0,1085.0,516.67,1033.34,
1-1098,80b1f785-1ec6-45d3-8fa7-f5b687ede381,720f7005-7254-4fd1-9997-f07d06ccbdbd,10,787.5,7875.0,7875.0,734.58,7345.8,
1-1098,06c778a8-a31c-41ed-b5e6-2b773417e6dd,cd766f10-5b83-49e3-b45a-ff6a5f32a888,5,1771.8,8859.0,8859.0,1642.58,8212.9,
1-1098,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,2,9450.0,18900.0,18900.0,0.0,0.0,
1-1098,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,1,3150.0,3150.0,3150.0,0.0,0.0,0.5
1-1098,927bb1b2-8059-432d-9521-e3411e725084,c3cdd912-b40b-4500-b3dd-b94c30ef6693,3,2100.0,6300.0,6300.0,0.0,0.0,
1-1098,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,2,262.5,525.0,525.0,242.76,485.52,
1-1098,2557ae06-37a1-45f5-b2ca-530d552004dd,82afe3a0-ac05-4b68-821d-a92f5aef228f,4,498.75,1995.0,1995.0,409.13,1636.52,
1-1098,dcc78519-1e8c-409e-9396-833e7b6fd00b,0b9f5ea9-0870-4529-8c1b-707d66cad93d,5,194.25,971.25,971.25,1962.0,9810.0,
1-1098,8dea6e31-228d-4e57-9b28-0f4c0f907a6a,b0b76c98-f5b4-4915-b2ae-a86714988df3,1,3150.0,3150.0,3150.0,0.0,0.0,
1-1098,70915492-d96f-442c-baea-124f7d7aaf03,797edc26-0dd9-46bc-915c-b14254edaca9,1,11025.0,11025.0,11025.0,0.0,0.0,1.5
1-1098,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,16,2067.19,33075.04,33075.04,8451.22,135219.52,
1-1098,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,1,33600.0,33600.0,33600.0,32000.0,32000.0,
1-1098,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,1,52563.0,52563.0,52563.0,2737.34,2737.34,
1-1098,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,1,4200.0,4200.0,4200.0,0.0,0.0,
1-1098,3db8be93-b321-4f83-9ee0-9f883a4b2c01,fefc0227-63fc-406c-a825-74f25e91fb32,6,2100.0,12600.0,12600.0,0.0,0.0,
1-1098,7945d3e6-ee9d-4692-b26b-298d91face2b,d6df15f7-7fb4-41e9-a682-92c731a7e34b,2,367.5,735.0,735.0,0.0,0.0,
1-1098,e21e0fd5-2a15-4dfe-abc2-a284902f413c,206a3a72-6054-422d-b1fd-9f8a86b4de96,5,3150.0,15750.0,15750.0,0.0,0.0,
1-1098,b0418a29-b03e-4c07-aac4-386765486b38,b8cd6f87-2043-4724-ad52-af2f2e0935e9,6,875.0,5250.0,5250.0,666.67,4000.02,
1-1098,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,1,3150.0,3150.0,3150.0,12000.0,12000.0,0.25
1-1098,3e847adb-1cbb-482e-b810-25e1e9b88719,8a006afa-c760-40ea-b157-343e6fe99bdc,2,2100.0,4200.0,4200.0,0.0,0.0,
1-1098,66634735-19e6-4cad-9945-cd4970e70f95,411796c5-ac53-4f3f-8b3f-a0d305254f56,1,1050.0,1050.0,1050.0,0.0,0.0,
1-1098,d89350d2-07b3-4518-a6dd-2165be2e8a9d,27fed9ad-350f-4cdd-9e8d-8eb3afd9699b,1,1575.0,1575.0,1575.0,0.0,0.0,
1-1098,5d7364c0-921b-4851-8c48-16cf845d9da8,45dd4c3e-25db-4b72-9242-0ba9b8162619,1,2100.0,2100.0,2100.0,2000.0,2000.0,
1-1098,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,1,1050.0,1050.0,1050.0,250.0,250.0,
1-1098,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,1,26250.0,26250.0,26250.0,0.0,0.0,
1-1098,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,20,1155.0,23100.0,23100.0,0.0,0.0,
1-1098,c197ef5b-4773-4f92-9ff1-e65f75556477,57e9b4f5-b90d-436f-924b-f5f7459cf00f,1,3570.0,3570.0,3570.0,0.0,0.0,2.5
1-1098,6fa95493-98e1-4292-841b-c22a149f7e71,05ff21f1-f602-4dab-9c45-7d783fe20bd5,1,15500.0,15500.0,15500.0,15000.0,15000.0,
1-1098,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,50,35.0,1750.0,1750.0,35.0,1750.0,
1-1098,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,4,5000.0,20000.0,20000.0,6377.09,25508.36,
1-1098,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,1,1000.0,1000.0,1000.0,4000.0,4000.0,
1-1098,3682e08b-8584-4158-b819-f0353e692ce3,621d7c1a-6221-4c4c-aa76-a207a3e43bf5,1,1732.5,1732.5,1732.5,1500.0,1500.0,
1-1097,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,8,2067.19,16537.52,16537.52,8451.22,67609.76,
1-1097,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,2,3100.0,6200.0,6200.0,2666.67,5333.34,
1-1097,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,10,89.25,892.5,892.5,138.96,1389.6,
1-1097,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,1,4200.0,4200.0,4200.0,4000.0,4000.0,
1-1097,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,2,542.5,1085.0,1085.0,516.67,1033.34,
1-1097,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,4,892.5,3570.0,3570.0,875.0,3500.0,
1-1097,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,5,263.0,1315.0,1315.0,250.0,1250.0,
1-1097,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,d6d36218-158c-412a-89cf-ef2ff6b36f59,5,1575.0,7875.0,7875.0,1500.0,7500.0,
1-1097,06c778a8-a31c-41ed-b5e6-2b773417e6dd,cd766f10-5b83-49e3-b45a-ff6a5f32a888,5,1771.8,8859.0,8859.0,1642.58,8212.9,
1-1097,99871376-7d34-4dc7-9ae4-95f6953bd095,39959c12-5c67-4947-a30e-eb5b6cdcaa90,1,2887.5,2887.5,2887.5,2916.67,2916.67,
1-1097,2e8facad-232e-4563-a76b-e4eeb4ecb930,47cae377-c641-46b1-a7d6-dab6cc3e02a6,1,3045.0,3045.0,3045.0,2800.0,2800.0,
1-1097,6fa95493-98e1-4292-841b-c22a149f7e71,a64a56de-52bb-44c1-85b1-6b793bd22df2,1,7560.0,7560.0,7560.0,8000.0,8000.0,5litre
1-1097,dcc78519-1e8c-409e-9396-833e7b6fd00b,0b9f5ea9-0870-4529-8c1b-707d66cad93d,5,194.25,971.25,971.25,1962.0,9810.0,
1-1097,fab875af-b55d-45d4-9214-c4f706e7ec8a,8c1ad26b-00f7-45ac-82c6-b390262dd53b,50,63.0,3150.0,3150.0,63.0,3150.0,
1-1097,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,25,60.0,1500.0,1500.0,60.0,1500.0,
1-1097,80b1f785-1ec6-45d3-8fa7-f5b687ede381,720f7005-7254-4fd1-9997-f07d06ccbdbd,7,787.5,5512.5,5512.5,734.58,5142.06,
1-1097,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,1,262.5,262.5,262.5,242.76,242.76,
1-1097,796ab850-69f9-4c92-a528-0343ead97d59,ca7745b7-4aed-43be-8c1d-fc35945116de,8,525.0,4200.0,4200.0,518.89,4151.12,
1-1097,2557ae06-37a1-45f5-b2ca-530d552004dd,82afe3a0-ac05-4b68-821d-a92f5aef228f,4,498.75,1995.0,1995.0,409.13,1636.52,
1-1097,70915492-d96f-442c-baea-124f7d7aaf03,797edc26-0dd9-46bc-915c-b14254edaca9,1,7350.0,7350.0,7350.0,0.0,0.0,
1-1097,c197ef5b-4773-4f92-9ff1-e65f75556477,57e9b4f5-b90d-436f-924b-f5f7459cf00f,2,1470.0,2940.0,2940.0,0.0,0.0,
1-1097,927bb1b2-8059-432d-9521-e3411e725084,c3cdd912-b40b-4500-b3dd-b94c30ef6693,2,2100.0,4200.0,4200.0,0.0,0.0,
1-1097,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,25,1155.0,28875.0,28875.0,0.0,0.0,
1-1097,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,1,13125.0,13125.0,13125.0,0.0,0.0,0.5
1-1097,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,1,4200.0,4200.0,4200.0,0.0,0.0,
1-1097,3db8be93-b321-4f83-9ee0-9f883a4b2c01,fefc0227-63fc-406c-a825-74f25e91fb32,4,2625.0,10500.0,10500.0,0.0,0.0,
1-1097,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,1,3150.0,3150.0,3150.0,0.0,0.0,0.25
1-1097,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,2,9450.0,18900.0,18900.0,0.0,0.0,
1-1097,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,4,5000.0,20000.0,20000.0,6377.09,25508.36,
1-1097,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,1,33600.0,33600.0,33600.0,32000.0,32000.0,
1-1097,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,20,2628.15,52563.0,52563.0,2737.34,54746.8,
1-1097,e21e0fd5-2a15-4dfe-abc2-a284902f413c,206a3a72-6054-422d-b1fd-9f8a86b4de96,5,3150.0,15750.0,15750.0,0.0,0.0,
1-1097,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,1,3150.0,3150.0,3150.0,12000.0,12000.0,0.25
1-1097,d89350d2-07b3-4518-a6dd-2165be2e8a9d,27fed9ad-350f-4cdd-9e8d-8eb3afd9699b,1,1575.0,1575.0,1575.0,0.0,0.0,
1-1097,8dea6e31-228d-4e57-9b28-0f4c0f907a6a,b0b76c98-f5b4-4915-b2ae-a86714988df3,1,2625.0,2625.0,2625.0,0.0,0.0,
1-1097,3e847adb-1cbb-482e-b810-25e1e9b88719,8a006afa-c760-40ea-b157-343e6fe99bdc,1,3150.0,3150.0,3150.0,0.0,0.0,1.5
1-1097,5d7364c0-921b-4851-8c48-16cf845d9da8,45dd4c3e-25db-4b72-9242-0ba9b8162619,2,1050.0,2100.0,2100.0,2000.0,4000.0,
1-1097,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,1,1000.0,1000.0,1000.0,4000.0,4000.0,
1-1096,06c778a8-a31c-41ed-b5e6-2b773417e6dd,cd766f10-5b83-49e3-b45a-ff6a5f32a888,8,1771.8,14174.4,14174.4,1642.58,13140.64,
1-1096,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,3,542.5,1627.5,1627.5,516.67,1550.01,
1-1096,35b4fbbb-04e2-4e76-b2b4-0c6961715bd6,61ed80fd-9ea3-4931-8da8-d27070d3aa76,1,472.5,472.5,472.5,763.89,763.89,
1-1096,4ef9a7ff-3e25-41ef-ba78-52915580d896,799a79e8-9b7c-4d98-9638-8ee60bb0c641,1,3360.0,3360.0,3360.0,3166.67,3166.67,
1-1096,14a3df3f-8ac4-43ed-9e59-7a80ebe92265,a76f7d79-62e3-4a7b-bf2f-7530bb615c52,5,189.0,945.0,945.0,176.1,880.5,
1-1096,2557ae06-37a1-45f5-b2ca-530d552004dd,82afe3a0-ac05-4b68-821d-a92f5aef228f,5,498.75,2493.75,2493.75,409.13,2045.65,
1-1096,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,1,33075.0,33075.0,33075.0,8451.22,8451.22,
1-1096,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,5,263.0,1315.0,1315.0,250.0,1250.0,
1-1096,b3493bbf-1d3d-4961-92d9-003f07af4134,20a15a56-edc6-464b-bdfd-a8e8bdeebf43,1,6562.5,6562.5,6562.5,6388.89,6388.89,
1-1096,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,10,89.25,892.5,892.5,138.96,1389.6,
1-1096,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,d6d36218-158c-412a-89cf-ef2ff6b36f59,6,1575.0,9450.0,9450.0,1500.0,9000.0,
1-1096,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,4f552b12-ba98-4567-a962-6168433037a8,2,231.0,462.0,462.0,785.71,1571.42,
1-1096,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,100,35.0,3500.0,3500.0,35.0,3500.0,
1-1096,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,25,60.0,1500.0,1500.0,60.0,1500.0,
1-1096,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,7,892.5,6247.5,6247.5,875.0,6125.0,
1-1096,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,1,4200.0,4200.0,4200.0,4000.0,4000.0,
1-1096,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,2,262.5,525.0,525.0,242.76,485.52,
1-1096,6fa95493-98e1-4292-841b-c22a149f7e71,c0ea6a1b-c96b-4ecf-8dcf-87af6f407bb6,2,33075.0,66150.0,66150.0,31500.0,63000.0,
1-1096,80b1f785-1ec6-45d3-8fa7-f5b687ede381,720f7005-7254-4fd1-9997-f07d06ccbdbd,10,787.5,7875.0,7875.0,734.58,7345.8,
1-1096,6dafecf4-366d-41b0-b16f-77d2d67417f2,25eae14a-b16f-41ab-a8ef-5552a8d070f6,5,551.25,2756.25,2756.25,525.0,2625.0,
1-1096,fab875af-b55d-45d4-9214-c4f706e7ec8a,8c1ad26b-00f7-45ac-82c6-b390262dd53b,200,63.0,12600.0,12600.0,63.0,12600.0,
1-1096,28384062-10c2-4c99-9106-f3cd034e2b7d,0567a8f1-80e8-4222-9f85-d406cb2d9fc6,1,1260.0,1260.0,1260.0,0.0,0.0,
1-1096,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,1,4200.0,4200.0,4200.0,0.0,0.0,
1-1096,3db8be93-b321-4f83-9ee0-9f883a4b2c01,fefc0227-63fc-406c-a825-74f25e91fb32,12,2100.0,25200.0,25200.0,0.0,0.0,
1-1096,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,1,4200.0,4200.0,4200.0,0.0,0.0,
1-1096,c567bf49-f245-4153-8ffc-c7e8fca13214,1b388809-fefd-4f76-9eb1-79b860bb984a,1,3990.0,3990.0,3990.0,0.0,0.0,
1-1096,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,2,26250.0,52500.0,52500.0,0.0,0.0,
1-1096,70915492-d96f-442c-baea-124f7d7aaf03,797edc26-0dd9-46bc-915c-b14254edaca9,2,7350.0,14700.0,14700.0,0.0,0.0,
1-1096,c197ef5b-4773-4f92-9ff1-e65f75556477,57e9b4f5-b90d-436f-924b-f5f7459cf00f,3,1470.0,4410.0,4410.0,0.0,0.0,
1-1096,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,3,7700.0,23100.0,23100.0,0.0,0.0,
1-1096,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,1,4200.0,4200.0,4200.0,0.0,0.0,
1-1096,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,8,5000.0,40000.0,40000.0,6377.09,51016.72,
1-1096,e89ad283-950a-4267-b5bb-e84ebe40d7b4,23423eec-bb9f-4e87-a649-8c0c35de3133,1,33600.0,33600.0,33600.0,32000.0,32000.0,
1-1096,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,1,24150.0,24150.0,24150.0,23000.0,23000.0,
1-1096,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,1,52563.0,52563.0,52563.0,2737.34,2737.34,
1-1096,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,50,1155.0,57750.0,57750.0,0.0,0.0,
1-1096,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,1,4200.0,4200.0,4200.0,12000.0,12000.0,0.25
1-1096,8dea6e31-228d-4e57-9b28-0f4c0f907a6a,b0b76c98-f5b4-4915-b2ae-a86714988df3,1,3150.0,3150.0,3150.0,0.0,0.0,
