receipt_number,created_at,item_id,variant_id,sku,quantity,price,gross_total_money,cost,cost_total,line_note
1-1123,2023-04-03 09:45:22+00:00,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,10086,2,275.0,550.0,247.77,495.54,
1-1123,2023-04-03 09:45:22+00:00,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,10097,10,89.25,892.5,103.38,1033.8,
1-1123,2023-04-03 09:45:22+00:00,6dafecf4-366d-41b0-b16f-77d2d67417f2,4299b3db-7ddd-4a47-8aef-f37724c8c0ce,10024,1,420.0,420.0,400.0,400.0,
1-1123,2023-04-03 09:45:22+00:00,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,10206,5,275.0,1375.0,250.0,1250.0,
1-1123,2023-04-03 09:45:22+00:00,8c03d8c8-e52b-46f8-ae90-e81f51f99cea,34d58b24-2559-48f6-9c67-4128077e7a20,10193,7,787.5,5512.5,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,99871376-7d34-4dc7-9ae4-95f6953bd095,39959c12-5c67-4947-a30e-eb5b6cdcaa90,10069,1,2887.5,2887.5,2916.67,2916.67,
1-1123,2023-04-03 09:45:22+00:00,4ef9a7ff-3e25-41ef-ba78-52915580d896,799a79e8-9b7c-4d98-9638-8ee60bb0c641,10096,1,3360.0,3360.0,3166.67,3166.67,
1-1123,2023-04-03 09:45:22+00:00,06c778a8-a31c-41ed-b5e6-2b773417e6dd,cd766f10-5b83-49e3-b45a-ff6a5f32a888,10071,5,1771.8,8859.0,1738.58,8692.9,
1-1123,2023-04-03 09:45:22+00:00,b3493bbf-1d3d-4961-92d9-003f07af4134,20a15a56-edc6-464b-bdfd-a8e8bdeebf43,10095,1,6875.0,6875.0,6250.0,6250.0,
1-1123,2023-04-03 09:45:22+00:00,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,10004,25,36.75,918.75,33.23,830.75,
1-1123,2023-04-03 09:45:22+00:00,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,10005,25,63.0,1575.0,31.43,785.75,
1-1123,2023-04-03 09:45:22+00:00,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,10018,4,892.5,3570.0,855.0,3420.0,
1-1123,2023-04-03 09:45:22+00:00,dcc78519-1e8c-409e-9396-833e7b6fd00b,0b9f5ea9-0870-4529-8c1b-707d66cad93d,10017,5,203.5,1017.5,241.61,1208.05,
1-1123,2023-04-03 09:45:22+00:00,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,d6d36218-158c-412a-89cf-ef2ff6b36f59,10013,4,1650.0,6600.0,1500.0,6000.0,
1-1123,2023-04-03 09:45:22+00:00,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,10014,2,542.5,1085.0,516.67,1033.34,
1-1123,2023-04-03 09:45:22+00:00,2557ae06-37a1-45f5-b2ca-530d552004dd,82afe3a0-ac05-4b68-821d-a92f5aef228f,10056,4,437.5,1750.0,483.15,1932.6,
1-1123,2023-04-03 09:45:22+00:00,8f44dc00-b905-4c50-8d21-04956ebb7495,42a91be1-35e6-405d-aef1-30c76bbb37d9,10059,5,47.25,236.25,40.79,203.95,
1-1123,2023-04-03 09:45:22+00:00,6fa95493-98e1-4292-841b-c22a149f7e71,c0ea6a1b-c96b-4ecf-8dcf-87af6f407bb6,10012,1,33075.0,33075.0,31500.0,31500.0,
1-1123,2023-04-03 09:45:22+00:00,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,10048,1,4200.0,4200.0,3923.81,3923.81,
1-1123,2023-04-03 09:45:22+00:00,6833bf5a-5f20-4678-a836-a2505fedd53f,ec7f49e8-6f53-4b87-8584-565396f57516,10098,1,1837.5,1837.5,1750.0,1750.0,
1-1123,2023-04-03 09:45:22+00:00,fab875af-b55d-45d4-9214-c4f706e7ec8a,8c1ad26b-00f7-45ac-82c6-b390262dd53b,10100,100,63.0,6300.0,63.0,6300.0,
1-1123,2023-04-03 09:45:22+00:00,796ab850-69f9-4c92-a528-0343ead97d59,ca7745b7-4aed-43be-8c1d-fc35945116de,10003,10,525.0,5250.0,501.4,5014.0,
1-1123,2023-04-03 09:45:22+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,2,22575.0,45150.0,22000.0,44000.0,
1-1123,2023-04-03 09:45:22+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,1,24150.0,24150.0,23000.0,23000.0,
1-1123,2023-04-03 09:45:22+00:00,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,10030,4,5000.0,20000.0,4750.0,19000.0,
1-1123,2023-04-03 09:45:22+00:00,70915492-d96f-442c-baea-124f7d7aaf03,797edc26-0dd9-46bc-915c-b14254edaca9,10116,1,7350.0,7350.0,7000.0,7000.0,
1-1123,2023-04-03 09:45:22+00:00,c197ef5b-4773-4f92-9ff1-e65f75556477,57e9b4f5-b90d-436f-924b-f5f7459cf00f,10141,2,1470.0,2940.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,3db8be93-b321-4f83-9ee0-9f883a4b2c01,fefc0227-63fc-406c-a825-74f25e91fb32,10032,4,2750.0,11000.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,10066,1,25200.0,25200.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,10178,1,3150.0,3150.0,0.0,0.0,0.25
1-1123,2023-04-03 09:45:22+00:00,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,10145,2,9450.0,18900.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,e21e0fd5-2a15-4dfe-abc2-a284902f413c,206a3a72-6054-422d-b1fd-9f8a86b4de96,10090,5,3150.0,15750.0,3000.0,15000.0,
1-1123,2023-04-03 09:45:22+00:00,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,10064,1,3150.0,3150.0,12000.0,12000.0,0.25
1-1123,2023-04-03 09:45:22+00:00,d89350d2-07b3-4518-a6dd-2165be2e8a9d,27fed9ad-350f-4cdd-9e8d-8eb3afd9699b,10130,1,1575.0,1575.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,8dea6e31-228d-4e57-9b28-0f4c0f907a6a,b0b76c98-f5b4-4915-b2ae-a86714988df3,10154,1,2625.0,2625.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,3e847adb-1cbb-482e-b810-25e1e9b88719,8a006afa-c760-40ea-b157-343e6fe99bdc,10043,1,3150.0,3150.0,0.0,0.0,1.5
1-1123,2023-04-03 09:45:22+00:00,927bb1b2-8059-432d-9521-e3411e725084,c3cdd912-b40b-4500-b3dd-b94c30ef6693,10144,2,2100.0,4200.0,2000.0,4000.0,
1-1123,2023-04-03 09:45:22+00:00,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,10040,1,4200.0,4200.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,5d7364c0-921b-4851-8c48-16cf845d9da8,45dd4c3e-25db-4b72-9242-0ba9b8162619,10146,2,1050.0,2100.0,2000.0,4000.0,
1-1123,2023-04-03 09:45:22+00:00,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,10010,25,1155.0,28875.0,0.0,0.0,
1-1123,2023-04-03 09:45:22+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,5000.0,5000.0,4000.0,4000.0,
1-1122,2023-04-03 03:51:04+00:00,6fa95493-98e1-4292-841b-c22a149f7e71,c0ea6a1b-c96b-4ecf-8dcf-87af6f407bb6,10012,2,33075.0,66150.0,31500.0,63000.0,
1-1122,2023-04-03 03:51:04+00:00,6dafecf4-366d-41b0-b16f-77d2d67417f2,4299b3db-7ddd-4a47-8aef-f37724c8c0ce,10024,1,420.0,420.0,400.0,400.0,
1-1122,2023-04-03 03:51:04+00:00,ed4edb5d-ae60-400c-a868-052a1e873132,b7c0b7c4-ccbe-4091-9985-f9188e9d3e59,10097,20,89.25,1785.0,138.96,2779.2,
1-1122,2023-04-03 03:51:04+00:00,11227978-c0d3-4197-b263-793f086ae380,34f8197c-d4db-450f-afe0-bf77dd7d6a27,10119,2,450.0,900.0,595.0,1190.0,
1-1122,2023-04-03 03:51:04+00:00,06c778a8-a31c-41ed-b5e6-2b773417e6dd,cd766f10-5b83-49e3-b45a-ff6a5f32a888,10071,8,1771.8,14174.4,1722.45,13779.6,
1-1122,2023-04-03 03:51:04+00:00,d63fbf4f-6dd8-46bf-99e6-3cf632aa8639,338fd73c-6304-4f38-ad6f-5675ff2a69ad,10048,1,4200.0,4200.0,3942.86,3942.86,
1-1122,2023-04-03 03:51:04+00:00,1036fbc1-7177-49ea-9473-93b876f008d8,b6d8f2a5-510f-4fde-a5ce-bcdd25138a28,10002,3,3000.0,9000.0,2700.22,8100.66,
1-1122,2023-04-03 03:51:04+00:00,8c03d8c8-e52b-46f8-ae90-e81f51f99cea,34d58b24-2559-48f6-9c67-4128077e7a20,10193,12,787.0,9444.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,157b85d4-7768-43a1-b4ba-7021e96d5ec0,5ecce3ac-25c6-41a1-bc51-8aac3eef2852,10086,2,275.0,550.0,242.76,485.52,
1-1122,2023-04-03 03:51:04+00:00,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,d6d36218-158c-412a-89cf-ef2ff6b36f59,10013,7,1650.0,11550.0,1500.0,10500.0,
1-1122,2023-04-03 03:51:04+00:00,796ab850-69f9-4c92-a528-0343ead97d59,5ed0c6e5-8145-4da5-aba6-3f06adbe9856,10004,100,36.75,3675.0,35.0,3500.0,
1-1122,2023-04-03 03:51:04+00:00,796ab850-69f9-4c92-a528-0343ead97d59,2b7addd6-3440-4b71-bf9e-a2fd7e764c25,10005,50,63.0,3150.0,31.43,1571.5,
1-1122,2023-04-03 03:51:04+00:00,5392ed18-1d1f-4e7d-894c-db90cd9b0b50,4f552b12-ba98-4567-a962-6168433037a8,10076,2,231.0,462.0,785.71,1571.42,
1-1122,2023-04-03 03:51:04+00:00,2e8facad-232e-4563-a76b-e4eeb4ecb930,47cae377-c641-46b1-a7d6-dab6cc3e02a6,10094,2,3045.0,6090.0,2800.0,5600.0,
1-1122,2023-04-03 03:51:04+00:00,dcc78519-1e8c-409e-9396-833e7b6fd00b,0b9f5ea9-0870-4529-8c1b-707d66cad93d,10017,10,203.5,2035.0,241.61,2416.1,
1-1122,2023-04-03 03:51:04+00:00,759851f4-8ea8-4a82-8b37-f7778630831c,9ebbad11-c731-4d26-99a4-bab0043a6b4b,10014,2,542.5,1085.0,516.67,1033.34,
1-1122,2023-04-03 03:51:04+00:00,796ab850-69f9-4c92-a528-0343ead97d59,ca7745b7-4aed-43be-8c1d-fc35945116de,10003,10,525.0,5250.0,518.89,5188.9,
1-1122,2023-04-03 03:51:04+00:00,796ab850-69f9-4c92-a528-0343ead97d59,1b695fa9-9448-42bf-8237-f2d7b9efae97,10007,5,1050.0,5250.0,616.26,3081.3,
1-1122,2023-04-03 03:51:04+00:00,8f44dc00-b905-4c50-8d21-04956ebb7495,42a91be1-35e6-405d-aef1-30c76bbb37d9,10059,12,47.25,567.0,40.79,489.48,
1-1122,2023-04-03 03:51:04+00:00,2557ae06-37a1-45f5-b2ca-530d552004dd,82afe3a0-ac05-4b68-821d-a92f5aef228f,10056,5,437.5,2187.5,476.19,2380.95,
1-1122,2023-04-03 03:51:04+00:00,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,10001,16,2067.19,33075.04,2118.87,33901.92,
1-1122,2023-04-03 03:51:04+00:00,408fc36d-a47d-4b1d-8761-0da59acb47d0,89ddcad8-8079-4f42-aef8-2aa41b95a5ad,10018,7,892.5,6247.5,892.24,6245.68,
1-1122,2023-04-03 03:51:04+00:00,fab875af-b55d-45d4-9214-c4f706e7ec8a,8c1ad26b-00f7-45ac-82c6-b390262dd53b,10100,200,63.0,12600.0,63.0,12600.0,
1-1122,2023-04-03 03:51:04+00:00,4ef9a7ff-3e25-41ef-ba78-52915580d896,799a79e8-9b7c-4d98-9638-8ee60bb0c641,10096,1,3360.0,3360.0,3166.67,3166.67,
1-1122,2023-04-03 03:51:04+00:00,99871376-7d34-4dc7-9ae4-95f6953bd095,39959c12-5c67-4947-a30e-eb5b6cdcaa90,10069,1,2887.5,2887.5,2916.67,2916.67,
1-1122,2023-04-03 03:51:04+00:00,1e53a31b-8b49-4976-83ee-e6e9084fe0f9,b774ece9-d6b6-4fb4-ad63-12f842de47e7,10084,1,367.5,367.5,350.0,350.0,
1-1122,2023-04-03 03:51:04+00:00,b3493bbf-1d3d-4961-92d9-003f07af4134,20a15a56-edc6-464b-bdfd-a8e8bdeebf43,10095,1,6875.0,6875.0,6250.0,6250.0,
1-1122,2023-04-03 03:51:04+00:00,a4700291-f1eb-4e8e-b5a7-457e9e995f1a,ad22520b-5744-4882-bd46-7993939eec9f,10074,2,2000.0,4000.0,1500.0,3000.0,
1-1122,2023-04-03 03:51:04+00:00,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,10030,12,5000.0,60000.0,4750.0,57000.0,
1-1122,2023-04-03 03:51:04+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,10020,20,2628.15,52563.0,2503.0,50060.0,
1-1122,2023-04-03 03:51:04+00:00,14a3df3f-8ac4-43ed-9e59-7a80ebe92265,a76f7d79-62e3-4a7b-bf2f-7530bb615c52,10009,5,189.0,945.0,176.1,880.5,
1-1122,2023-04-03 03:51:04+00:00,85d2019a-8c4d-4645-9c41-be5b1dd82201,b1850e8b-e66a-4b76-b133-4a40daf63dfd,10206,5,275.0,1375.0,250.0,1250.0,
1-1122,2023-04-03 03:51:04+00:00,70915492-d96f-442c-baea-124f7d7aaf03,797edc26-0dd9-46bc-915c-b14254edaca9,10116,2,7350.0,14700.0,7000.0,14000.0,
1-1122,2023-04-03 03:51:04+00:00,c197ef5b-4773-4f92-9ff1-e65f75556477,57e9b4f5-b90d-436f-924b-f5f7459cf00f,10141,3,1470.0,4410.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,444b2894-c2c0-44a9-b407-1688ac4316e4,437e66ec-a000-407c-a602-97208ce0f01d,10040,1,4200.0,4200.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,9f8fe2c8-cb40-40f0-9f46-bf85570fd85d,34bc6391-f493-4f20-aaa7-49679e6d7566,10151,6,525.0,3150.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,3db8be93-b321-4f83-9ee0-9f883a4b2c01,fefc0227-63fc-406c-a825-74f25e91fb32,10032,8,2750.0,22000.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,0b6bbde9-4918-47b9-aaa1-fbf649bc191a,92398a32-71e1-4f0b-aa33-54fb5f5b3d7c,10145,3,7700.0,23100.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,38317304-22d2-4c30-8143-e321d09aa5bf,9e87b6a9-9b80-415f-9bf5-a8e92f3eecc9,10011,6,166.67,1000.02,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,eb065125-a7eb-468d-a1d6-5c4e0bcc1949,b7584b00-741b-4a37-b754-b8850f61d41d,10064,1,4200.0,4200.0,12000.0,12000.0,0.25
1-1122,2023-04-03 03:51:04+00:00,e21e0fd5-2a15-4dfe-abc2-a284902f413c,206a3a72-6054-422d-b1fd-9f8a86b4de96,10090,6,3150.0,18900.0,3000.0,18000.0,
1-1122,2023-04-03 03:51:04+00:00,b0418a29-b03e-4c07-aac4-386765486b38,b8cd6f87-2043-4724-ad52-af2f2e0935e9,10063,8,787.5,6300.0,666.67,5333.36,
1-1122,2023-04-03 03:51:04+00:00,8dea6e31-228d-4e57-9b28-0f4c0f907a6a,b0b76c98-f5b4-4915-b2ae-a86714988df3,10154,1,3150.0,3150.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,3e847adb-1cbb-482e-b810-25e1e9b88719,8a006afa-c760-40ea-b157-343e6fe99bdc,10043,2,2100.0,4200.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,66634735-19e6-4cad-9945-cd4970e70f95,411796c5-ac53-4f3f-8b3f-a0d305254f56,10125,1,1575.0,1575.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,d89350d2-07b3-4518-a6dd-2165be2e8a9d,27fed9ad-350f-4cdd-9e8d-8eb3afd9699b,10130,1,1575.0,1575.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,dc794069-20b5-4244-8896-b0f132b0b65d,595db0eb-64df-466e-aa05-88250a82c0a6,10178,1,4200.0,4200.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,927bb1b2-8059-432d-9521-e3411e725084,c3cdd912-b40b-4500-b3dd-b94c30ef6693,10144,4,2100.0,8400.0,2000.0,8000.0,
1-1122,2023-04-03 03:51:04+00:00,dce3b23c-fccb-44a2-a229-7bdb9ca04184,eb857c3b-ac08-4b69-824d-51643a7459c5,10010,50,1155.0,57750.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,b50c4698-c8c0-4cbd-a6ea-0570e619e9a9,d180740a-0e1a-49a8-9c8a-d5c6a7e741da,10066,2,25200.0,50400.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,6ec75cfd-6b09-4a68-b99f-f96ee6188652,d480b468-c151-4306-8cc9-a20d1646f6d9,10160,1,3150.0,3150.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,5d7a05c2-2fba-4fd8-84ff-3cf26a349608,9ee521e9-f70c-4e2c-bb30-803188c574e1,10153,2,1312.5,2625.0,0.0,0.0,
1-1122,2023-04-03 03:51:04+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,5000.0,5000.0,4000.0,4000.0,
1-1121,2023-03-30 20:16:47+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,78e89f2c-a226-4520-a029-95cf202bb530,10020,20,2628.15,52563.0,2503.0,50060.0,
1-1121,2023-03-30 20:16:47+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,1,23000.0,23000.0,22000.0,22000.0,
1-1121,2023-03-30 20:16:47+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,bc00575e-b7fe-44fd-b7f6-a2acf157ca66,10023,1,24150.0,24150.0,23000.0,23000.0,
1-1121,2023-03-30 20:16:47+00:00,e4ac9cb1-9dc1-48fe-af8f-21fa3b4f20c8,83b357ad-665e-472d-b226-c3f57f323087,10001,4,2067.19,8268.76,2118.87,8475.48,
1-1121,2023-03-30 20:16:47+00:00,6fa95493-98e1-4292-841b-c22a149f7e71,05ff21f1-f602-4dab-9c45-7d783fe20bd5,10169,1,16000.0,16000.0,15000.0,15000.0,
1-1121,2023-03-30 20:16:47+00:00,6db077ad-1377-424b-8bf7-245dacbb2e3a,18b541bd-81f6-4e95-bd5e-ad869904062e,10030,4,5000.0,20000.0,4750.0,19000.0,
1-1121,2023-03-30 20:16:47+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,1000.0,1000.0,4000.0,4000.0,
1-1120,2023-03-30 20:09:49+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,1,23000.0,23000.0,22000.0,22000.0,
1-1120,2023-03-30 20:09:49+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,2000.0,2000.0,4000.0,4000.0,
1-1119,2023-03-29 15:00:44+00:00,35ca6cb6-b0b6-41d7-b6f8-5fdc8de4ed78,3a176e38-65f0-411d-9a7e-00fe88fcf9d6,10016,1,23000.0,23000.0,22000.0,22000.0,
1-1119,2023-03-29 15:00:44+00:00,bb6f7aef-6890-46ce-bdd0-fade4aff45b2,8c355893-613e-4ef9-9587-66c30144d9e5,10000,1,2000.0,2000.0,4000.0,4000.0,
